image,point,x,y
stump_image.png,1,673,463
stump_image.png,2,767,463
stump_image.png,3,1108,463
stump_image.png,4,1194,463
stump_image.png,5,673,487
stump_image.png,6,759,487
stump_image.png,7,1108,486
stump_image.png,8,1202,480
stump_image.png,9,588,923
stump_image.png,10,704,923
stump_image.png,11,1163,928
stump_image.png,12,1277,928
stump_image.png,13,588,967
stump_image.png,14,698,967
stump_image.png,15,1163,963
stump_image.png,16,1287,972
stump_image.png,17,909,326
stump_image.png,18,956,326
stump_image.png,19,909,766
stump_image.png,20,974,766
